rule,type,coef,support,importance
gdenergy <= 105.5 & gdpuls <= 96.0 & gdenergy > -87.5 & gdenergy > 59.5 & gdpuls <= -27.5,rule,0.0,0.01171875,0.0
gdpuls > -81.5 & gdpuls <= 99.0 & gdenergy <= 93.5 & gdenergy <= -86.5 & gdenergy <= 111.5,rule,-0.05477195993116091,0.01171875,0.005894394574161278
gdpuls <= 99.5 & gdenergy <= 94.5 & gdenergy > -76.5 & gdenergy > -91.0 & gdpuls > -82.5,rule,-0.010311907439318604,0.859375,0.003584772766431804
gdpuls <= -77.0 & gdenergy <= -80.5,rule,0.2729916131392034,0.04296875,0.05535906218152091
gdenergy > -86.5 & gdpuls <= 35.0 & gdenergy > 96.0 & gdenergy > 91.0 & gdpuls <= 81.5,rule,0.0,0.00390625,0.0
gdpuls > -75.5 & gdenergy <= -86.5,rule,0.5083448899571789,0.00390625,0.031709441084667625
gdpuls > -81.5 & gdenergy <= 117.5 & gdpuls > 96.0 & gdpuls > -90.0,rule,-0.2995271556986962,0.015625,0.03714723585418468
gdpuls > -81.5 & gdpuls > 101.0 & gdenergy <= 95.5,rule,-0.6446421630809018,0.0078125,0.05675584554378759
gdpuls > -78.5 & gdenergy > 69.0 & gdpuls <= 81.0 & gdpuls > -27.5,rule,0.0,0.0390625,0.0
gdenergy <= -85.5 & gdenergy <= 96.0,rule,0.0,0.01953125,0.0
gdenergy <= 4.0 & gdpuls <= -75.5 & gdenergy > -82.5,rule,0.30026260438799574,0.0546875,0.06827048415199445
gdenergy > -86.5 & gdenergy <= 100.5 & gdpuls <= -91.0,rule,-0.4592123922731395,0.01171875,0.04941906473320249
gdpuls <= -81.0 & gdpuls <= 90.5,rule,0.0,0.0234375,0.0
gdpuls > -91.0 & gdpuls <= -81.5,rule,0.0,0.046875,0.0
gdpuls > -88.0,rule,-0.005887027013491841,0.98046875,0.0008146628763298979
gdpuls > 66.5 & gdpuls > 96.0 & gdenergy > 29.5 & gdpuls > -85.5,rule,-0.05325093052212454,0.04296875,0.010798579268055913
gdpuls > -10.5 & gdenergy > 54.5 & gdenergy > -87.5,rule,0.7673055492918974,0.109375,0.23948306785853982
gdenergy <= 105.0 & gdenergy > -74.0 & gdpuls <= -81.5,rule,-0.16416804117888306,0.01171875,0.01766727377277886
gdpuls > -81.5 & gdenergy <= 36.0 & gdenergy > -83.5 & gdpuls > 62.5 & gdenergy <= 53.5,rule,-0.38596934243502634,0.015625,0.04786776064585354
gdpuls <= 95.5 & gdenergy > -91.0 & gdpuls > -77.5 & gdenergy <= 95.5,rule,0.043307253792163464,0.87890625,0.014128393612268147
gdenergy <= 53.5,rule,-0.0001802344036301983,0.84765625,6.476791238375709e-05
gdenergy > 32.5 & gdpuls > -75.5 & gdpuls > 89.5,rule,0.16143160220135955,0.04296875,0.032736178234789304
gdpuls > -81.0 & gdenergy > 101.5 & gdenergy > 107.0 & gdenergy > 100.5,rule,-0.004980817084198573,0.03515625,0.0009173400590715392
gdenergy > -86.0 & gdpuls > -91.0 & gdpuls > 35.5 & gdenergy <= -41.5,rule,-4.95782345249122,0.0078125,0.436498693722033
gdpuls > 29.0 & gdenergy > -34.5,rule,0.0,0.14453125,0.0
gdenergy > -86.5 & gdenergy <= 100.0 & gdpuls > -81.5,rule,0.09625214432046739,0.91015625,0.027524049281809165
gdenergy <= 76.5 & gdpuls > 93.0 & gdpuls > -83.5 & gdenergy > -76.5,rule,-0.43104496383440016,0.01171875,0.04638777029776413
gdenergy <= 100.5 & gdenergy > -80.0,rule,-2.8461454813482473e-05,0.890625,8.883079916130047e-06
gdpuls > 10.0 & gdenergy > 88.5 & gdenergy > -85.5,rule,0.0,0.046875,0.0
gdpuls <= -47.0 & gdpuls <= 5.5 & gdenergy > 54.5 & gdenergy > -87.5,rule,-0.16324983176850372,0.01171875,0.017568458821236387
gdenergy > -85.5 & gdenergy <= 96.0,rule,-0.00354454280937541,0.9296875,0.000906243681690901
gdpuls > -81.5 & gdpuls > -13.5 & gdenergy > 91.5 & gdenergy > 105.5,rule,-0.1438488683491908,0.04296875,0.029170634057624392
gdenergy <= -93.0,rule,0.0,0.00390625,0.0
gdenergy > 100.0 & gdenergy > -87.5,rule,-0.2531442420581788,0.04296875,0.05133427974524183
gdenergy <= -93.5,rule,0.0,0.00390625,0.0
gdenergy > 100.5 & gdenergy > -87.5,rule,-0.10629590321503005,0.02734375,0.017335056233251853
gdenergy <= -91.5 & gdpuls <= 66.5,rule,0.0,0.00390625,0.0
gdpuls <= 89.5 & gdenergy > 96.5 & gdenergy <= 112.5 & gdenergy > -87.5,rule,0.0,0.01953125,0.0
gdenergy <= 105.5 & gdpuls > -81.5 & gdpuls > 99.5,rule,-0.08070140219622307,0.0078125,0.007105145428784338
gdenergy > 0.5 & gdpuls <= -77.5 & gdpuls > -91.5,rule,-2.639750309036866,0.00390625,0.1646618438707797
gdpuls <= 89.5 & gdenergy > -93.5,rule,0.0,0.9609375,0.0
