gdenergy_max,gdenergy_min,gdpuls_max,gdpuls_min,size_rules,n_inliers_included,n_outliers_included,n_inliers,n_inliers_p0,n_inliers_p1,n_outliers_p1,n_outliers_p0,n_outliers
4.0,-inf,-75.5,-inf,2,32,22,614,614,156,69,69,69
inf,32.0,inf,83.5,3,14,24,614,614,156,69,69,69
inf,72.5,inf,-inf,2,32,32,614,614,156,69,69,69
inf,-inf,inf,83.5,1,14,27,614,614,156,69,69,69
inf,89.5,inf,16.0,2,11,24,614,614,156,69,69,69
2.5,-inf,-75.5,-inf,2,32,22,614,614,156,69,69,69
-80.5,-inf,89.5,-inf,6,20,20,614,614,156,69,69,69
-76.5,-inf,18.5,-inf,2,31,20,614,614,156,69,69,69
99.5,-inf,-75.5,-inf,3,32,23,614,614,156,69,69,69
inf,88.0,inf,-inf,1,12,30,614,614,156,69,69,69
inf,74.0,inf,-inf,3,32,30,614,614,156,69,69,69
inf,59.5,inf,-55.0,2,50,31,614,614,156,69,69,69
inf,-inf,inf,81.5,1,15,27,614,614,156,69,69,69
inf,-inf,inf,87.5,1,12,26,614,614,156,69,69,69
-80.5,-inf,inf,-inf,2,20,20,614,614,156,69,69,69
inf,47.0,inf,66.5,2,20,21,614,614,156,69,69,69
107.0,54.5,inf,6.0,3,49,4,614,614,156,69,69,69
-76.0,-inf,inf,-inf,1,37,21,614,614,156,69,69,69
inf,32.5,inf,64.0,3,26,23,614,614,156,69,69,69
-80.0,-inf,inf,-inf,1,23,20,614,614,156,69,69,69
inf,88.5,inf,-inf,1,11,30,614,614,156,69,69,69
95.5,54.5,99.5,-53.0,5,49,2,614,614,156,69,69,69
inf,54.5,93.0,-27.5,3,51,11,614,614,156,69,69,69
-76.5,-inf,inf,-inf,1,31,21,614,614,156,69,69,69
inf,88.5,inf,-91.5,2,11,30,614,614,156,69,69,69
inf,20.0,inf,66.5,2,26,25,614,614,156,69,69,69
105.5,59.5,96.0,-27.5,5,47,2,614,614,156,69,69,69
inf,45.0,inf,79.5,2,13,21,614,614,156,69,69,69
-76.5,-inf,13.5,-inf,2,31,20,614,614,156,69,69,69
inf,95.5,inf,-53.0,4,7,26,614,614,156,69,69,69
-82.5,-inf,inf,-inf,1,11,18,614,614,156,69,69,69
107.0,69.5,inf,-27.5,3,33,4,614,614,156,69,69,69
inf,89.0,inf,-inf,1,11,30,614,614,156,69,69,69
inf,-inf,-81.0,-inf,2,13,20,614,614,156,69,69,69
4.0,-82.5,-75.5,-inf,3,29,5,614,614,156,69,69,69
inf,54.5,32.5,-91.0,3,23,10,614,614,156,69,69,69
88.0,-91.0,inf,64.0,4,27,9,614,614,156,69,69,69
inf,105.0,inf,-inf,1,0,24,614,614,156,69,69,69
inf,35.0,inf,83.5,2,14,22,614,614,156,69,69,69
inf,99.5,inf,-inf,1,2,25,614,614,156,69,69,69
inf,95.0,inf,-inf,1,9,28,614,614,156,69,69,69
inf,95.5,inf,-inf,1,7,27,614,614,156,69,69,69
inf,105.5,inf,10.0,4,0,23,614,614,156,69,69,69
inf,26.5,inf,66.5,2,25,24,614,614,156,69,69,69
inf,94.5,inf,34.0,2,5,21,614,614,156,69,69,69
inf,100.5,inf,-inf,1,1,25,614,614,156,69,69,69
58.0,-inf,-81.0,-inf,3,13,20,614,614,156,69,69,69
-76.5,-85.5,inf,-81.0,4,27,1,614,614,156,69,69,69
inf,-inf,-78.5,-inf,1,19,21,614,614,156,69,69,69
91.5,35.0,101.0,66.5,6,21,1,614,614,156,69,69,69
inf,105.0,inf,10.0,4,0,23,614,614,156,69,69,69
inf,-83.0,inf,87.5,2,12,26,614,614,156,69,69,69
-80.0,-inf,-76.5,-inf,4,6,18,614,614,156,69,69,69
-84.0,-inf,inf,-inf,1,9,18,614,614,156,69,69,69
inf,111.5,inf,9.5,4,0,23,614,614,156,69,69,69
4.0,-inf,-81.5,-inf,2,9,19,614,614,156,69,69,69
-80.5,-inf,-75.5,-inf,2,7,19,614,614,156,69,69,69
inf,58.0,inf,81.5,3,10,20,614,614,156,69,69,69
inf,-inf,inf,101.0,2,0,19,614,614,156,69,69,69
inf,107.0,inf,-inf,1,0,24,614,614,156,69,69,69
inf,105.5,inf,-13.5,4,0,23,614,614,156,69,69,69
inf,32.5,inf,89.5,3,7,23,614,614,156,69,69,69
inf,111.5,inf,-inf,2,0,24,614,614,156,69,69,69
inf,106.0,inf,-81.5,2,0,24,614,614,156,69,69,69
inf,88.5,inf,4.0,3,11,25,614,614,156,69,69,69
inf,29.5,inf,96.0,4,1,20,614,614,156,69,69,69
inf,105.5,inf,-inf,1,0,24,614,614,156,69,69,69
inf,35.0,inf,81.5,2,14,22,614,614,156,69,69,69
inf,104.5,inf,-inf,1,0,24,614,614,156,69,69,69
inf,95.5,inf,1.0,2,7,23,614,614,156,69,69,69
inf,-76.5,96.0,67.0,5,26,7,614,614,156,69,69,69
-70.0,-inf,-81.5,-inf,3,1,18,614,614,156,69,69,69
-80.5,-inf,inf,-91.5,2,20,20,614,614,156,69,69,69
inf,44.5,inf,83.5,2,13,21,614,614,156,69,69,69
105.0,58.0,inf,10.0,4,44,3,614,614,156,69,69,69
89.0,-inf,-81.5,-inf,2,9,20,614,614,156,69,69,69
inf,100.0,inf,-inf,2,2,25,614,614,156,69,69,69
inf,49.0,108.0,64.0,4,20,4,614,614,156,69,69,69
-80.5,-inf,-77.0,-inf,2,6,18,614,614,156,69,69,69
71.0,-inf,-81.5,-inf,2,9,20,614,614,156,69,69,69
inf,46.0,inf,58.5,2,25,22,614,614,156,69,69,69
inf,95.0,99.5,-inf,2,9,14,614,614,156,69,69,69
100.5,-inf,-81.5,-inf,2,9,20,614,614,156,69,69,69
-70.5,-inf,-81.5,-inf,3,0,18,614,614,156,69,69,69
inf,-inf,inf,90.5,1,6,23,614,614,156,69,69,69
inf,91.0,93.0,-83.0,3,11,14,614,614,156,69,69,69
inf,111.5,inf,-27.5,5,0,23,614,614,156,69,69,69
94.5,-inf,-81.5,-inf,2,9,20,614,614,156,69,69,69
inf,67.5,66.5,-29.0,5,23,8,614,614,156,69,69,69
inf,106.0,inf,-inf,2,0,24,614,614,156,69,69,69
107.0,-inf,-81.5,-inf,2,9,20,614,614,156,69,69,69
